Date,Time,Open,High,Low,Close,Volume
10/19/2022,3:03 PM,367.19,367.51,367.02,367.45,383880
10/19/2022,3:06 PM,367.45,367.79,367.13,367.441,407146
10/19/2022,3:09 PM,367.41,367.46,366.91,367.1,398930
10/19/2022,3:12 PM,367.09,367.87,367.09,367.7901,426057
10/19/2022,3:15 PM,367.7935,368.1,367.62,367.83,633138
10/19/2022,3:18 PM,367.8,368.73,367.69,368.43,795090
10/19/2022,3:21 PM,368.445,368.58,368.33,368.4945,413182
10/19/2022,3:24 PM,368.49,368.62,368.1,368.177,311362
10/19/2022,3:27 PM,368.19,368.25,367.905,368.02,312197
10/19/2022,3:30 PM,368.0099,368.04,367.47,367.73,371005
10/19/2022,3:33 PM,367.72,367.87,367.43,367.65,315836
10/19/2022,3:36 PM,367.64,367.95,367.61,367.73,312545
10/19/2022,3:39 PM,367.725,368.09,367.69,367.865,455040
10/19/2022,3:42 PM,367.86,368.15,367.6,368.005,463736
10/19/2022,3:45 PM,368.01,368.04,367.6,367.92,336749
10/19/2022,3:48 PM,367.92,368.08,367.35,368.01,639637
10/19/2022,3:51 PM,368,368.1,367.5,367.67,694896
10/19/2022,3:54 PM,367.675,367.91,367.43,367.845,450133
10/19/2022,3:57 PM,367.87,368.35,367.87,368.32,841259
10/19/2022,4:00 PM,368.32,368.67,368.21,368.56,2310503
10/20/2022,9:33 AM,368.03,368.69,367.64,367.76,939874
10/20/2022,9:36 AM,367.77,368.67,367.429,367.715,783107
10/20/2022,9:39 AM,367.75,368.08,367.17,367.97,624301
10/20/2022,9:42 AM,367.97,368.16,367,368,573705
10/20/2022,9:45 AM,368.01,368.36,367.44,368.3,680563
10/20/2022,9:48 AM,368.31,369.17,368.17,369.02,964665
10/20/2022,9:51 AM,369.04,369.21,368.53,369.13,648955
10/20/2022,9:54 AM,369.17,369.78,368.85,369.48,603917
10/20/2022,9:57 AM,369.48,369.77,369.19,369.72,419222
10/20/2022,10:00 AM,369.72,369.82,369.0789,369.1,476845
10/20/2022,10:03 AM,369.11,370.25,368.975,370.18,582920
10/20/2022,10:06 AM,370.14,370.82,370,370.75,602286
10/20/2022,10:09 AM,370.81,371.17,370.7,371.11,678956
10/20/2022,10:12 AM,371.11,371.77,371.11,371.65,625441
10/20/2022,10:15 AM,371.66,371.7,370.87,371.0782,581534
10/20/2022,10:18 AM,371.065,371.59,371.065,371.58,516012
10/20/2022,10:21 AM,371.58,372.67,371.3301,372.4299,972747
10/20/2022,10:24 AM,372.42,372.55,372.02,372.16,473893
10/20/2022,10:27 AM,372.15,372.44,371.71,371.74,472720
10/20/2022,10:30 AM,371.75,372.19,371.65,372.14,406373
10/20/2022,10:33 AM,372.19,372.48,371.03,371.22,635037
10/20/2022,10:36 AM,371.2,371.36,370.98,371.205,405108
10/20/2022,10:39 AM,371.21,371.44,371.08,371.4,337179
10/20/2022,10:42 AM,371.4,371.43,370.67,370.8836,341215
10/20/2022,10:45 AM,370.88,371.17,370.67,371.08,313909
10/20/2022,10:48 AM,371.07,371.42,370.99,371.4,290155
10/20/2022,10:51 AM,371.38,371.52,371.16,371.26,358646
10/20/2022,10:54 AM,371.27,371.62,371.14,371.2,451317
10/20/2022,10:57 AM,371.19,371.41,370.97,371.33,372515
10/20/2022,11:00 AM,371.325,371.99,371.325,371.96,527228
10/20/2022,11:03 AM,371.97,372.16,371.53,371.5499,612174
10/20/2022,11:06 AM,371.58,371.75,371.28,371.56,490468
10/20/2022,11:09 AM,371.57,371.79,371.411,371.485,274175
10/20/2022,11:12 AM,371.4807,371.76,371.4199,371.74,228305
10/20/2022,11:15 AM,371.73,371.92,371.53,371.7,284646
10/20/2022,11:18 AM,371.67,371.77,371.2,371.25,261047
10/20/2022,11:21 AM,371.27,371.27,370.71,370.74,454837
10/20/2022,11:24 AM,370.72,371.13,370.69,371.12,321023
